formula,atomic_volume,band_gap,outer_electron,diff_electroneg,spacegroup,band_gap.is_direct
SiBr4,45.35348144,4.1057,19,1.06,m-3,1
AgBr,24.96356321,0.7132,24,1.03,2/m,0
CdI2,40.56475371,2.3776,25,0.97,3m,0
Sn3As4,28.76484429,0.3924,25,0.22,-43m,0
CdI2,40.37037299,2.379,25,0.97,3m,0
CdI2,41.74400095,2.4105,25,0.97,3m,0
CdI2,40.17127275,2.3648,25,0.97,3m,0
TcBr4,35.38614157,0.6025,20,1.06,mmm,1
CdI2,42.01773463,2.4254,25,0.97,3m,0
CdI2,40.13154369,2.3845,25,0.97,3m,0
Rb3As7,35.98718053,1.5282,14,1.36,2/m,0
CdI2,42.48319416,2.4244,25,0.97,3m,0
CdI2,40.13222715,2.385,25,0.97,3m,0
SeBr,36.24701485,1.4863,29,0.41,mm2,0
CdI2,42.07110236,2.4284,25,0.97,3m,0
SiC,10.50420197,2.0149,8,0.65,3m,0
CdI2,40.80335365,2.4004,25,0.97,3m,0
AgCl,21.89890751,0.874,16,1.23,2/m,0
SiC,10.50374643,2.0837,8,0.65,3m,0
CdI2,40.21493606,2.3682,25,0.97,3m,0
CdI2,40.98159935,2.4076,25,0.97,3m,0
SiC,10.49642862,1.9887,8,0.65,3m,0
AgCl,21.49659143,0.445,16,1.23,mmm,0
CdI2,40.13349813,2.3817,25,0.97,3m,0
BeI2,40.54282416,4.078,17,1.09,mmm,0
CdI2,41.40642075,2.4157,25,0.97,3m,0
BeCl2,23.56024652,6.514,9,1.59,4/mmm,1
SiC,10.49545296,1.9049,8,0.65,3m,0
CdI2,40.14359926,2.3741,25,0.97,3m,0
MnBr2,28.37096931,1.5308,20,1.41,m-3m,1
CdI2,40.11608356,2.3827,25,0.97,3m,0
CdI2,40.40253334,2.382,25,0.97,3m,0
CaBr2,34.62623038,4.4509,17,1.96,4/mmm,1
CdI2,40.18453613,2.3934,25,0.97,3m,0
CsBr,50.69609465,4.2579,16,2.17,m-3m,1
CdI2,41.67573924,2.4218,25,0.97,3m,0
YbBr2,32.92962783,4.4692,29,1.86,mmm,1
GeBr4,44.00148172,2.9647,27,0.95,m-3,1
SiC,10.49508649,1.8184,8,0.65,3m,0
SiC,10.49258745,1.9142,8,0.65,3m,0
CdI2,40.20028886,2.3772,25,0.97,3m,0
CdI2,40.15249397,2.3835,25,0.97,3m,0
CdI2,40.18461191,2.3788,25,0.97,3m,0
CdI2,40.18369104,2.3663,25,0.97,3m,0
CdI2,40.20283963,2.3766,25,0.97,3m,0
HgBr2,33.90233572,1.682,25,0.96,3,0
CdI2,40.24377873,2.3719,25,0.97,3m,0
CdI2,44.19887456,2.4658,25,0.97,3m,0
CdI2,40.16801112,2.3722,25,0.97,3m,0
CdI2,42.37611492,2.4388,25,0.97,3m,0
CdI2,40.18138787,2.377,25,0.97,3m,0
CdI2,40.75333703,2.4008,25,0.97,3m,0
CdI2,40.24863078,2.387,25,0.97,3m,0
CdI2,40.53309536,2.3941,25,0.97,3m,0
CdI2,40.85599456,2.3923,25,0.97,3m,0
CdI2,40.2966219,2.3857,25,0.97,3m,0
CdI2,40.84970704,2.3903,25,0.97,3m,0
CdI2,40.47781182,2.3882,25,0.97,3m,0
CdI2,43.19051779,2.4567,25,0.97,3m,0
CdI2,43.77794742,2.457,25,0.97,3m,0
CaCl2,28.44006203,5.5969,9,2.16,mmm,0
CdI2,40.38451802,2.3721,25,0.97,3m,0
CdI2,40.5997237,2.3876,25,0.97,3m,0
CdI2,41.30977334,2.4181,25,0.97,3m,0
CdI2,40.52461497,2.3944,25,0.97,3m,0
Cs3As7,40.08254796,1.5703,14,1.39,mmm,0
Cs3As11,37.78160342,1.3884,14,1.39,2/m,0
SiBr4,45.76261922,4.1056,19,1.06,2/m,0
CdI2,42.40053304,2.429,25,0.97,3m,0
AgI,36.8693034,1.3762,24,0.73,6mm,1
SiC,10.49476954,1.7106,8,0.65,3m,0
CdI2,41.08829015,2.3919,25,0.97,3m,0
Ag2S,20.54908896,0.9133,15,0.65,2/m,0
Gd2Br3,31.65943601,0.2133,23,1.76,2/m,0
B6As,9.334417896,2.6454,24,0.14,-3m,1
SiC,10.49518109,2.0545,8,0.65,3m,0
CdI2,40.12089005,2.347,25,0.97,3m,0
CdI2,40.11920517,2.3498,25,0.97,3m,0
CdI2,40.09670954,2.353,25,0.97,3m,0
CdI2,40.10881667,2.3456,25,0.97,3m,0
CdI2,40.0705526,2.3697,25,0.97,3m,0
HBr,28.27195251,4.681,16,0.76,mm2,1
CaO2,12.66192703,2.7332,8,2.44,4/mmm,0
As2S3,28.83440655,2.0868,19,0.4,2/m,0
CaC2,16.53265522,2.4765,6,1.55,-1,0
CO2,15.62432674,6.3098,10,0.89,4/mmm,0
PBr7,37.07270772,1.2227,20,0.77,mmm,1
CdI2,40.04456447,2.3676,25,0.97,3m,0
ZnBr2,32.56556436,3.2203,25,1.31,4/mmm,1
GaBr2,33.89249247,3.3617,26,1.15,3m,0
SeBr4,39.49308252,2.2103,29,0.41,3m,0
In5Br7,35.6533381,2.0735,26,1.18,m,0
AlN,10.63182077,4.039,16,1.43,6mm,1
CdI2,40.06635374,2.3784,25,0.97,3m,0
CdI2,40.102901,2.3451,25,0.97,3m,0
CdI2,40.06668059,2.3545,25,0.97,3m,0
CdI2,40.17737317,2.3549,25,0.97,3m,0
CdS,26.21571884,1.1162,16,0.89,6mm,1
CaN6,13.73404556,3.4199,7,2.04,mmm,1
CdI2,40.09625754,2.3536,25,0.97,3m,0
CdI2,40.10962741,2.3548,25,0.97,3m,0
CdI2,40.08255084,2.351,25,0.97,3m,0
CdI2,40.09739718,2.3506,25,0.97,3m,0
CdI2,39.94628315,2.3417,25,0.97,3m,0
CdI2,40.04780002,2.3813,25,0.97,3m,0
CdI2,40.12912452,2.3441,25,0.97,3m,0
CdI2,40.09013351,2.3523,25,0.97,3m,0
CdI2,40.07776099,2.3483,25,0.97,3m,0
CdI2,40.07850831,2.3526,25,0.97,3m,0
CdI2,40.06499718,2.355,25,0.97,3m,0
CdI2,40.00722139,2.3558,25,0.97,3m,0
CdI2,39.98281745,2.3419,25,0.97,3m,0
CdI2,39.94877951,2.3355,25,0.97,3m,0
CdI2,40.00623209,2.3508,25,0.97,3m,0
CdI2,39.95669553,2.3384,25,0.97,3m,0
CdI2,40.16847581,2.3691,25,0.97,3m,0
CdI2,39.96288794,2.3597,25,0.97,3m,0
CdI2,39.94679573,2.3544,25,0.97,3m,0
In5Br7,35.9249976,2.0373,26,1.18,422,1
CdI2,39.63867532,2.3569,25,0.97,3m,0
K3As7,33.24648057,1.4029,14,1.36,mmm,0
Tl2Br3,35.51131587,1.1457,26,1.34,2/m,1
Li3As7,23.07738285,1.3269,14,1.2,mmm,1
Rb3As7,36.64237206,1.457,14,1.36,mmm,0
Zn3As2,21.19141076,0.1378,23,0.53,4/mmm,1
In4Br7,37.6466238,2.2927,26,1.18,2/m,0
BaS2,30.36224264,1.5761,8,1.69,2/m,0
CdI2,40.04837306,2.3629,25,0.97,3m,0
Al2S3,18.94059402,1.6714,17,0.97,4/mmm,0
B4C,7.419531769,1.5112,15,0.51,-3m,0
Be3N2,6.861169941,3.3533,7,1.47,6/mmm,0
Al2O3,9.647485362,4.4571,17,1.83,2/m,0
KAs,32.81470507,0.6695,14,1.36,222,1
SiC,10.50137938,2.3015,8,0.65,6mm,0
Al2Os,14.08272339,0.3106,17,0.59,4/mmm,0
ZnAs2,24.31448076,0.2249,23,0.53,2/m,1
ZnAs,20.19995172,0.2459,23,0.53,mmm,0
BaSe2,34.36486185,0.7357,16,1.66,2/m,0
BaSe3,29.58924111,0.926,16,1.66,-42m,0
Li3As,16.19028891,0.6365,14,1.2,6/mmm,0
BeO,7.274737475,7.0841,8,1.87,4/mmm,0
MgAs4,24.12101953,0.8219,15,0.87,422,0
SiC,10.49637874,2.039,8,0.65,6mm,0
As2Ru,17.24957913,0.4949,19,0.02,mmm,0
BeH2,7.559028575,5.3418,3,0.63,mmm,1
BaP3,25.37283342,0.5476,7,1.3,2/m,0
CdP4,21.11937702,0.4893,15,0.5,2/m,0
LiAs,18.30110687,0.3722,14,1.2,2/m,0
AlF3,12.05543682,7.4282,18,2.37,m-3m,0
SiC,10.50029389,1.3923,8,0.65,-43m,0
AgP2,19.3396176,0.6188,14,0.26,2/m,0
BaTe3,36.09438846,0.813,16,1.21,-42m,0
Ca3N2,18.88980013,1.1111,7,2.04,m-3,0
AsF5,16.87206875,4.6001,20,1.8,6/mmm,1
Na3As,23.07927962,0.1193,14,1.25,m-3m,1
AlP,20.85945533,1.9714,16,0.58,6mm,0
AlAs,23.56098666,1.687,24,0.57,6mm,1
